a1_Throughput,a1_Angular_Distance,a1_Euclidean_Distance,a2_Throughput,a2_Angular_Distance,a2_Euclidean_Distance,a3_Throughput,a3_Angular_Distance,a3_Euclidean_Distance
5.309830056250526,321.3401917459099,6.4031242374328485,2.4,128.65980825409008,6.4031242374328485,2.4,45.0,7.0710678118654755
6.770662951279399,321.95295466563454,5.841233000482626,2.4,124.94069402637194,6.285704361723297,2.4,45.0,6.505382420633716
8.437925250783842,322.6960454503944,5.280152013281085,2.4,121.24998799758038,6.168401738700893,2.4,44.707803025667545,5.970221464922576
9.90766668243967,323.6156375158272,4.7201702249269655,2.4,117.55468576919026,6.052813151418179,2.4,44.38560479627,5.432577578089217
10.0,324.78239598993287,4.161731092213916,2.4,114.00498378590169,5.899474037951743,2.4,43.65300669966007,4.925471884135102
9.249999999998295,326.30991986444207,3.605551804467407,2.4,110.45863791607763,5.721954187714438,2.4,42.58669329323271,4.433246419050409
7.613260554135379,328.39248309669455,3.052867873110812,2.4,106.80393345145092,5.534467643251096,2.4,40.89740473899593,3.9712445236693052
5.988166677678231,331.38952293228033,2.5059930151183396,2.4,102.9975627015225,5.335480270545194,2.412737219013714,38.75408930294128,3.5144938474352094
4.74584844014981,336.0374899011255,1.9697715700424505,2.4,98.99895619203062,5.114555137991468,2.412737219013714,38.75408930294128,3.5144938474352094
3.792865616630373,343.53740233011627,1.459846105968066,2.4,94.68661054278374,4.895632147233243,2.668683569254555,35.52407936263114,3.097866026250882
2.11714291520594,353.0543144371321,1.0073925416808736,1.5999999999999999,90.00000584184852,4.676731467247033,1.9319348144250788,31.35843264362319,2.6902879256687093
1.817876478228972,11.488106636113912,0.6122655134721495,1.5999999999999999,84.87493235869607,4.477771285730192,2.093125433937202,25.805886594405365,2.2971406370173666
1.5999999999999999,56.77620110437624,0.36502173985012637,1.5999999999999999,79.18907370371744,4.265103926131913,2.2322286781777336,19.214251699261467,1.980106659721498
1.5999999999999999,113.78187494204445,0.46331228205573627,1.5999999999999999,72.82528867781116,4.063850730710668,2.303114119125604,12.738843256581902,1.736333099360141
1.5999999999999999,128.36590537572783,0.6422791075521835,1.5999999999999999,65.908633563727,3.919715116491759,2.3203062708921443,6.0678882723848915,1.5200071370071337
1.5999999999999999,132.696174009964,0.7703805914960214,1.5999999999999999,58.556944570837516,3.8187122844508905,2.3108546553755467,358.6278403787177,1.3426320177192232
1.5999999999999999,134.4175296629844,0.8157853037634996,1.5999999999999999,51.84507836471994,3.702150630339041,2.281632699795437,350.22533694447526,1.1992232322402252
1.5999999999999999,135.24511774880727,0.8470946693629454,1.5999999999999999,45.96195106001153,3.5551981201576615,2.2394972414091123,342.7358996839017,1.0986259495849673
1.5999999999999999,136.6579123107332,0.886803074962808,1.5999999999999999,40.57620237013924,3.3985706368514785,2.1807695143288583,334.49886963923285,1.009284076444182
1.5999999999999999,137.92633755831213,0.9040483349464756,1.7524382643571372,35.78581023819521,3.227547051560189,2.129193301302981,326.56551962891183,0.955884540242027
1.5999999999999999,138.56476237964205,0.9190044838321457,1.9019035804451168,31.49941899584269,3.0506074686201456,2.0829478846135396,318.4602772142644,0.9314012232823959
1.5999999999999999,138.7655721338358,0.9251390212311328,2.036911886952179,27.606722511828366,2.884661002461821,2.031754177965106,311.3898481348992,0.91316790583817
1.5999999999999999,138.2637776412991,0.936111918147012,2.194475849775345,23.790367780166605,2.7093599488655946,1.989608877027811,304.80189374116,0.9106271747364993
1.5999999999999999,138.32380437691916,0.9507618962596632,2.30384692739883,20.58589942978375,2.5497819028273745,1.956642834098098,298.7662884569002,0.9119900462164331
1.5999999999999999,137.19842508107126,0.9483176157341822,2.3934017166951045,17.284712886751606,2.3931720354263497,1.9300100962045117,294.90997815438925,0.9051639762437345
1.5999999999999999,138.49005176731902,0.9375721819040552,2.4524724722958933,14.127736061940766,2.2337734269579244,1.9086633261380712,291.64203205619884,0.905946101529992
1.5999999999999999,138.20748228409798,0.9389111561560806,2.4869091915212653,11.226241527774732,2.0942163540952405,1.8788586961279834,286.9820046416669,0.9159290222441766
1.5999999999999999,137.74058865686595,0.9433746178625952,2.4843420271034917,8.823136634157663,1.9444096730087725,1.859877762771607,283.90683169369197,0.9308693256429367
1.5999999999999999,137.52971605207432,0.9552114021997852,2.4616129832089375,6.756033842721763,1.8038076848917648,1.8320859215791931,280.3251924926501,0.9338101148431175
1.5999999999999999,137.65294624044486,0.9542580236602168,2.4206388216398294,5.68478420053043,1.6876355362794344,1.830363658293668,279.176688885658,0.9669643658775107
1.5999999999999999,137.6871553303156,0.9481453085700683,2.382387161584603,4.181761890040889,1.57452766780607,1.8165404614850038,277.5572173301628,0.9674395109250065
1.5999999999999999,138.4006740415557,0.9486382963750701,2.3457760608804943,3.395397312717421,1.492798583410892,1.8094705170980312,276.9732334879063,0.957836443525836
1.5999999999999999,137.85904893302438,0.9528602144115739,2.313600774667546,2.27037514509027,1.4152072765300474,1.8002097317818617,275.44827941379634,0.978265935592008
1.5999999999999999,138.0734511036536,0.9465159901509217,2.2918763098334085,1.20268108766885,1.3597985380091566,1.7883278887899563,274.14718714897015,0.9768916940021395
1.5999999999999999,137.70256518636882,0.9448310916099366,2.253455601450744,1.323808541838332,1.3031165148422579,1.7753897511370724,272.5519086024872,0.9857497798537962
1.5999999999999999,137.2409053887459,0.9489323388642548,2.228526874482877,1.2163974264604462,1.263267046911094,1.7702814331479706,272.12948552777215,0.9779030238665624
