a1_Throughput,a1_Angular_Distance_from_target,a1_Euclidean_Distance_from_target,a1_Upstream_Throughput,a1_Beta,a1_Rho,a1_Acceleration,a1_Speed,a1_Position,a1_Heuristic,a1_Angular_Distance_from_a2,a1_Angular_Distance_from_a3,a1_Angular_Distance_from_a4,a2_Throughput,a2_Angular_Distance_from_target,a2_Euclidean_Distance_from_target,a2_Upstream_Throughput,a2_Beta,a2_Rho,a2_Acceleration,a2_Speed,a2_Position,a2_Heuristic,a2_Angular_Distance_from_a3,a2_Angular_Distance_from_a4,a3_Throughput,a3_Angular_Distance_from_target,a3_Euclidean_Distance_from_target,a3_Upstream_Throughput,a3_Beta,a3_Rho,a3_Acceleration,a3_Speed,a3_Position,a3_Heuristic,a3_Angular_Distance_from_a4,a4_Throughput,a4_Angular_Distance_from_target,a4_Euclidean_Distance_from_target,a4_Upstream_Throughput,a4_Beta,a4_Rho,a4_Acceleration,a4_Speed,a4_Position,a4_Heuristic
53.09830056250526,321.3401917459099,6.4031242374328485,0.0,0,0.0,[ 0.11377034 -0.07200344],[0. 0.],[0.5 9.5],0.009584270386971041,167.31961650818016,83.65980825409008,96.34019174590992,24.0,128.65980825409008,6.4031242374328485,0.0,0,0.6246950475544241,[-0.22497745 -0.07711   ],[0. 0.],[9.5 0.5],0.0013174507805243975,83.65980825409008,96.34019174590992,24.0,45.0,7.0710678118654755,0.0,0,0,[0.01632319 0.16709967],[0. 0.],[0.5 0.5],0.006196293466978626,180.0,24.0,225.0,5.656854249492381,0.0,0,0.7071067811865476,[-0.09152655  0.00492798],[0. 0.],[9.5 9.5],0.012137537013393852
55.951826192239935,321.2045074623479,6.26932194156347,0.0,0,0.0,[ 0.08073013 -0.05997037],[ 0.11377034 -0.07200344],[0.61377037 9.427997  ],0.009584270386971041,165.42768489152127,82.91553462129764,95.50617696584845,24.0,126.63219235386919,6.326755946152928,0.0,0,0.5966758539199414,[-0.21205025 -0.01098898],[-0.22497745 -0.07711001],[9.2750225 0.42289  ],0.0013174507805243975,82.51215027022363,99.06613814263028,24.0,44.12004208364556,6.942186982997784,0.0,0,0,[0.05630991 0.1052295 ],[0.01632319 0.16709967],[0.5163232  0.66709965],0.006196293466978626,178.4217115871461,24.0,225.69833049649947,5.596034906145416,0.0,0,0.6984361392276811,[-0.07513644 -0.02265999],[-0.09152655  0.00492798],[9.408473 9.504928],0.012137537013393852
40.79893613396744,321.02408916802483,6.035073234817633,0.0,0,0.0,[ 0.05239041 -0.04611953],[ 0.19450048 -0.1319738 ],[0.8082708 9.296022 ],0.009584270386971041,161.8483060298824,81.8567961135007,94.20563172428825,16.0,122.87239519790722,6.149926158226229,0.0,0,0.5427698625349412,[-0.19836826  0.01892072],[-0.3        -0.08809899],[8.837995 0.334791],0.0015241609613548229,79.99150991638169,103.94606224582935,16.0,42.880885281525536,6.702026549559386,0.0,0,0,[0.06292967 0.06097583],[0.0726331  0.27232915],[0.5889563 0.9394288],0.006196293466978626,176.06242783778896,16.0,226.81845744373658,5.4679861565445185,0.0,0,0.6843122381522876,[-0.05526936 -0.04324445],[-0.16666299 -0.01773201],[9.24181  9.487196],0.012137537013393852
45.82293184847422,320.85572026324024,5.731143075452326,0.0,0,0.0,[ 0.03266644 -0.033581  ],[ 0.24689089 -0.17809333],[1.0551617 9.117929 ],0.01275066386539113,157.62386743012826,80.65960423026564,92.73211878613483,16.0,118.4795876933685,5.955022063365788,0.0,0,0.4768456408792716,[-0.19028493  0.02158824],[-0.3        -0.06917827],[8.339626   0.26561272],0.0015241609613548229,76.96426319986261,109.64401378373688,16.0,41.51532449350589,6.377695315445528,0.0,0,0,[0.05424644 0.04038584],[0.13556278 0.3       ],[0.7245191 1.2727338],0.00863150665103215,173.3917230164005,16.0,228.12360147710538,5.273020023432695,0.0,0,0.6675258994153118,[-0.04097007 -0.0486039 ],[-0.22193235 -0.06097646],[9.019877 9.42622 ],0.012137537013393852
51.64590193203537,320.7246229367467,5.38071898920185,0.0,0,0.0,[ 0.01904344 -0.02486002],[ 0.27955732 -0.21167433],[1.3347191 8.906255 ],0.016840701799393107,153.25413176263584,79.56046040112415,91.20080238946849,16.0,113.97875469938253,5.780889994865749,0.0,0,0.4063978720583927,[-0.18094503  0.04001836],[-0.3        -0.04759002],[7.8493414 0.2180227],0.0019762277875528256,73.69367136151169,115.54506584789567,16.0,40.285083337870844,6.011341312625575,0.0,0,0,[0.03723993 0.02852226],[0.18980922 0.3       ],[0.9143283 1.6131196],0.00863150665103215,170.76126279059264,16.0,229.5238205472782,5.017432352467143,0.0,0,0.6491318557286966,[-0.02418856 -0.04746228],[-0.2629024  -0.10958036],[8.756975 9.31664 ],0.01629095334006512
57.2343228289926,320.65672824285605,4.999834431561993,0.0,0,0.0,[ 0.00429334 -0.01620786],[ 0.29860076 -0.23653436],[1.6333199 8.669721 ],0.016840701799393107,148.7977210857136,78.57130419157664,89.71719667601718,16.0,109.45444932856964,5.609833589560414,0.0,0,0.3330573451720614,[-0.17217704  0.03163087],[-0.3        -0.00757166],[7.3683963  0.21045104],0.0019762277875528256,70.22641689413695,121.48508223826923,16.0,39.22803243443269,5.6266778446528525,0.0,0,0,[0.0231069  0.01941424],[0.22704914 0.3       ],[1.1413774 1.9416418],0.012303062029259394,168.28850086759383,16.0,230.93953156683887,4.713052471377541,0.0,0,0.6301402194858577,[-0.01175404 -0.04614811],[-0.28709096 -0.15704264],[8.469884 9.159597],0.01629095334006512
61.28048915845937,320.69948233986975,4.605359529540426,0.0,0,0.0,[-0.00294969 -0.00758229],[ 0.3       -0.2527422],[1.936214 8.416979],0.016840701799393107,144.15153372870458,77.55129357678783,89.75995077303088,16.0,104.85101606857432,5.447459094446718,0.0,0,0.2563065145295689,[-0.15969971  0.03956061],[-0.3         0.02405921],[6.8962193  0.23451024],0.002792411979056899,66.60024015191675,126.08851549826454,16.0,38.250775916657574,5.231658973369109,0.0,0,0,[0.01844764 0.00701071],[0.25015604 0.3       ],[1.3915335 2.261056 ],0.016193996648234354,167.3112443498187,16.0,230.93953156683887,4.713052471377541,0.0,0,0.6301402194858577,[-0.07342079 -0.00083421],[0. 0.],[8.469884 9.159597],0.01629095334006512
62.05885103497187,320.8804619718617,4.2106264513944325,0.0,0,0.0,[-0.00748341 -0.00123607],[ 0.29705033 -0.2603245 ],[2.2332642 8.156654 ],0.017680644719416178,139.32546449486455,76.48313961982143,89.24739613365006,16.0,100.20592646672623,5.285500905537951,0.0,0,0.17718654098072006,[-0.14499598  0.04742933],[-0.3         0.06361982],[6.4365196  0.29813007],0.002792411979056899,62.84232487504312,131.4271393714854,16.0,37.36360159168311,4.831229655368115,0.0,0,0,[ 0.01194485 -0.00392801],[0.26860368 0.3       ],[1.6601372 2.5680666],0.016193996648234354,165.7305357534715,16.0,231.63306583821162,4.666481156613132,0.0,0,0.6206954013004635,[-0.05770234 -0.02400939],[-0.07342079 -0.00083421],[8.396463 9.158763],0.01629095334006512
59.25450158902165,321.18377087260296,3.8209958034196347,0.0,0,0.0,[-0.01242815  0.00469389],[ 0.2895669 -0.2615606],[2.5228312 7.895094 ],0.027118663859146738,134.33109854851182,75.33814391209137,88.4541762720761,16.0,95.51486942111478,5.114494295505804,0.0,0,0.09610407486575788,[-0.13103087  0.04399565],[-0.3         0.11104915],[5.9915237 0.4091792],0.004073422000809445,58.99295463642045,137.21472517941206,16.0,36.52191478469433,4.429049925217932,0.0,0,0,[ 0.00364181 -0.01184383],[0.28054854 0.296072  ],[1.9406857 2.8641386],0.016193996648234354,163.7923201841675,16.0,232.72959460052684,4.566451247423779,0.0,0,0.6055774389225099,[-0.0443418  -0.03634243],[-0.13112313 -0.02484359],[8.26534 9.13392],0.01629095334006512
54.06003984071194,321.62333691069,3.4441514427992637,0.0,0,0.0,[-0.01630322  0.00864263],[ 0.27713877 -0.2568667 ],[2.79997   7.6382275],0.027118663859146738,129.0788464200026,74.05609976749747,87.56169758712593,16.0,90.7021833306926,4.936146683138616,0.0,0,0.012255104291726852,[-0.1120334  0.0425991],[-0.3         0.15504481],[5.560493 0.564224],0.004073422000809445,55.022746652505134,143.35945599287146,16.0,35.67943667818747,4.031949324858583,0.0,0,0,[-0.00020104 -0.01786002],[0.28419036 0.28422818],[2.2248762 3.1483667],0.027153534474446062,161.6177973546234,16.0,234.06163932356407,4.4126954384423875,0.0,0,0.5869145644383347,[-0.02908176 -0.04098367],[-0.17546493 -0.06118602],[8.089875 9.072734],0.01629095334006512
