a1_Throughput,a1_Angular_Distance_from_target,a1_Euclidean_Distance_from_target,a1_Upstream_Throughput,a1_Beta,a1_Rho,a1_Acceleration,a1_Speed,a1_Position,a1_Heuristic,a1_Angular_Distance_from_a2,a1_Angular_Distance_from_a3,a2_Throughput,a2_Angular_Distance_from_target,a2_Euclidean_Distance_from_target,a2_Upstream_Throughput,a2_Beta,a2_Rho,a2_Acceleration,a2_Speed,a2_Position,a2_Heuristic,a2_Angular_Distance_from_a3,a3_Throughput,a3_Angular_Distance_from_target,a3_Euclidean_Distance_from_target,a3_Upstream_Throughput,a3_Beta,a3_Rho,a3_Acceleration,a3_Speed,a3_Position,a3_Heuristic
53.09830056250526,321.3401917459099,6.4031242374328485,0.0,0,0,[ 0.19545608 -0.04474689],[0. 0.],[0.5 9.5],0.009668353275143907,167.31961650818016,83.65980825409008,24.0,128.65980825409008,6.4031242374328485,0.0,0,0.6246950475544241,[-0.16619943  0.0499077 ],[0. 0.],[9.5 0.5],0.0013419861138219435,83.65980825409008,24.0,45.0,7.0710678118654755,0.0,0,0.0,[0.06127108 0.14986959],[0. 0.],[0.5 0.5],0.004789110424591365
56.14226746396571,320.53770733210865,6.223155607169645,0.0,0,0,[ 0.11134712 -0.06698295],[ 0.19545607 -0.04474689],[0.6954561 9.455253 ],0.009668353275143907,167.219740574411,83.94372551578778,24.0,127.75744790651964,6.261105237540558,0.0,0,0.6123200569877176,[-0.13807352  0.02524881],[-0.16619943  0.0499077 ],[9.3338    0.5499077],0.0013419861138219435,83.27601505862322,24.0,44.48143284789643,6.922052347625928,0.0,0,0.0,[0.0550385  0.09896359],[0.06127108 0.14986959],[0.5612711  0.64986956],0.004789110424591365
61.638569532668875,319.4846125202417,5.916277635623337,0.0,0,0,[ 0.06184258 -0.06870466],[ 0.3        -0.11172985],[1.0022593 9.343523 ],0.013057329588688868,166.42049759562462,84.17122164537216,24.0,125.90511011586631,6.018518475745626,0.0,0,0.5864446006784593,[-0.1096094   0.00998467],[-0.3         0.07515651],[9.029528  0.6250642],0.0013419861138219435,82.24927595025247,24.0,43.65583416561384,6.6654080753851135,0.0,0,0.0,[0.05034394 0.06001678],[0.11630958 0.24883318],[0.67758065 0.89870274],0.004789110424591365
69.045601023457,318.469279202224,5.524841422978154,0.0,0,0,[ 0.04785363 -0.04935047],[ 0.3        -0.18043451],[1.3641019 9.163089 ],0.013057329588688868,164.60964550259536,84.20565447673573,24.0,123.07892470481937,5.716294258654666,0.0,0,0.5457937832441374,[-0.10445187  0.00967863],[-0.3         0.08514118],[8.619918  0.7102054],0.0016020366490937835,80.40399102585963,24.0,42.674933678959746,6.332555530432749,0.0,0,0.0,[0.03621148 0.03967146],[0.16665351 0.3       ],[0.84423417 1.2075527 ],0.006765529072544369
76.37030112869064,317.81233004096515,5.112421733887881,0.0,0,0,[ 0.03418481 -0.03661072],[ 0.3        -0.22978498],[1.7119555 8.933304 ],0.016878880338434613,162.231771922642,83.78267193482543,24.0,120.04410196360715,5.423701809211879,0.0,0,0.5006664527615104,[-0.09325095  0.00769243],[-0.3         0.09481981],[8.215466  0.8050252],0.0016020366490937835,78.44909998781657,24.0,41.59500197579058,5.9542222930373985,0.0,0,0.0,[0.02157065 0.03372143],[0.202865 0.3     ],[1.0470991 1.5472242],0.010509185827156086
81.72039184669575,317.4817084702116,4.68598483422637,0.0,0,0,[ 0.01855665 -0.02505717],[ 0.3       -0.2663957],[2.0461404 8.666908 ],0.020618541719052096,159.34209080112834,83.07781379269517,24.0,116.82379927133991,5.146201787984459,0.0,0,0.45124826019183,[-0.08483869  0.00482947],[-0.3         0.10251224],[7.8222146  0.90753746],0.002122773958533885,76.26427700843317,24.0,40.55952226290674,5.565740929648371,0.0,0,0.0,[0.00995374 0.02143558],[0.22443566 0.3       ],[1.2715348 1.8809457],0.010509185827156086
83.85634793641512,317.475374887414,4.254218072910423,0.0,0,0,[ 0.00594195 -0.01222748],[ 0.3        -0.29145285],[2.364697 8.375456],0.020618541719052096,155.88685787791206,82.06864104642199,24.0,113.36223276532604,4.885666198499358,0.0,0,0.396542854879021,[-0.07613689  0.00326353],[-0.3         0.10734171],[7.437376  1.0148792],0.0025612395933701224,73.81821683149008,24.0,39.544015933835965,5.179471972157488,0.0,0,0.0,[0.00559174 0.01567961],[0.2343894 0.3      ],[1.5059242 2.2023814],0.014359822680762167
81.23955138955048,317.7304234747724,3.8235209360065903,0.0,0,0,[-0.00592957 -0.00684373],[ 0.3 -0.3],[2.670639 8.071775],0.020618541719052096,151.91076447785036,80.7302703000044,24.0,109.64118795262277,4.644766315420088,0.0,0,0.33612869551059527,[-0.06805173  0.00353296],[-0.3         0.11060524],[7.0612392 1.1254845],0.0025612395933701224,71.18049417784596,24.0,38.460693774776814,4.794286905476745,0.0,0,0.0,[0.00093947 0.00749716],[0.23998114 0.3       ],[1.7459054 2.518061 ],0.014359822680762167
75.05077793251812,318.22361535661184,3.3996490003763085,0.0,0,0,[-0.01661433 -0.00326528],[ 0.29407042 -0.3       ],[2.9647095 7.7649317],0.027112232302464095,147.42214871941462,79.05698314500722,24.0,105.64576407602647,4.424309161314819,0.0,0,0.2696890452538931,[-0.05741689  0.00162905],[-0.3        0.1141382],[6.6931877 1.2396227],0.003785528627604308,68.3651655744074,24.0,37.28059850161907,4.415317671012133,0.0,0,0.0,[-0.00387732 -0.00276633],[0.24092062 0.3       ],[1.9868261 2.8255582],0.014359822680762167
44.386950098830475,319.0150204252403,2.9909784553715,0.0,0,0,[-0.02378499  0.00533317],[ 0.2774561 -0.3      ],[3.2421656 7.4616666],0.03402858670631018,142.38591781544818,76.95016618563841,16.0,101.4009382406885,4.228037955367845,0.0,0,0.1976733926746209,[-0.04893167  0.00106762],[-0.3         0.11576726],[6.3357706 1.35539  ],0.003785528627604308,65.43575162980977,16.0,35.96518661087873,4.047734080997045,0.0,0,0.0,[-0.00366563 -0.00811622],[0.23704329 0.29723367],[2.2238693 3.1227918],0.026579696626521987
38.94289746166268,320.24738371338753,2.606829258547028,0.0,0,0,[-0.02719147  0.01032336],[ 0.2536711  -0.29466683],[3.4958367 7.167    ],0.03402858670631018,136.64454724168553,74.21249915933276,16.0,96.89193095507306,4.057090686890111,0.0,0,0.11999702623596341,[-0.03831315 -0.00069536],[-0.3         0.11683488],[5.986839  1.4722248],0.005686034337804017,62.432048082352765,17.118513717942662,34.4598828727203,3.690321028990089,0.0,0,0.0,[-0.00416439 -0.01283048],[0.23337767 0.28911746],[2.457247 3.411909],0.026579696626521987
34.41014125145186,322.12475141644495,2.252087330681661,0.0,0,0,[-0.02887832  0.01633117],[ 0.22647965 -0.28434348],[3.7223163 6.882656 ],0.04266459500952604,130.04973804327528,70.6551172465173,16.0,92.17448945972023,3.914454399637814,0.0,0,0.037942890556602694,[-0.02785881  0.00225875],[-0.3         0.11613952],[5.6485257 1.5883644],0.005686034337804017,59.39462079675798,18.2656422209431,32.77986866296226,3.3464367559888677,0.0,0,0.0,[-0.00873165 -0.01524068],[0.22921327 0.27628696],[2.6864603 3.6881962],0.026579696626521987
30.655666394513588,324.79956316699685,1.9336728626031674,0.0,0,0,[-0.02653661  0.02212745],[ 0.19760133 -0.26801232],[3.9199176 6.6146436],0.04266459500952604,122.49367474645305,66.08162897075675,16.0,87.2932379134499,3.797474138260112,0.0,0,0.0,[-0.02221663  0.00259393],[-0.3         0.11839826],[5.320667  1.7067627],0.005686034337804017,56.4120457756963,19.22588480170188,30.8811921377536,3.0213902258775214,0.0,0,0.0,[-0.01117627 -0.01942729],[0.22048162 0.2610463 ],[2.906942  3.9492426],0.026579696626521987
27.475875706787328,328.3432405369125,1.6553163243995956,0.0,0,0,[-0.02622611  0.0240519 ],[ 0.17106472 -0.24588487],[4.0909824 6.3687587],0.05332223763291722,113.87950794864719,60.432003768489835,16.0,82.22274848555969,3.706337346522756,0.0,0,0.0,[-0.01105143 -0.00083718],[-0.3         0.12099219],[4.9984503 1.8277549],0.008384293876880252,53.44750418015735,19.98471946870854,28.77524430540234,2.7195809610949797,0.0,0,0.0,[-0.01034264 -0.02031136],[0.20930535 0.241619  ],[3.1162472 4.1908617],0.0426195317789121
25.232209306654656,332.89953398025784,1.420091924236745,0.0,0,0,[-0.02298575  0.024732  ],[ 0.14483862 -0.22183296],[4.2358212 6.146926 ],0.05332223763291722,104.21481465834518,53.569674054943505,16.0,77.11434863860302,3.6438530557937088,0.0,0,0.0,[-0.00247048 -0.00100685],[-0.3         0.12015501],[4.687399  1.9479098],0.008384293876880252,50.64514060340167,20.81787606960294,26.469208035201348,2.4406317261957344,0.0,0,0.0,[-0.01139686 -0.01966474],[0.1989627  0.22130765],[3.3152099 4.4121695],0.0426195317789121
23.574559746305198,338.5064837398433,1.227701417932178,0.0,0,0,[-0.02183141  0.02805617],[ 0.12185287 -0.19710095],[4.357674 5.949825],0.06666666666666668,93.49893099865346,45.42083573548268,16.0,72.00541473849677,3.6094979210833986,0.0,0,0.0,[0.00460885 0.00020079],[-0.3         0.11914816],[4.384928 2.067058],0.011297429731266255,48.07809526317078,21.391642975902837,23.927319475325987,2.185001923971379,0.0,0,0.0,[-0.01148754 -0.01847379],[0.18756585 0.2016429 ],[3.5027757 4.6138124],0.0426195317789121
22.157797992306627,344.92334250898443,1.079460986548609,0.0,0,0,[-0.01747948  0.02681781],[ 0.10002147 -0.1690448 ],[4.4576955 5.78078  ],0.06666666666666668,82.0191594003411,36.184787484072615,16.0,66.94250190932553,3.601291913642118,0.0,0,0.0,[0.01343316 0.00074901],[-0.29539117  0.11934896],[4.089537 2.186407],0.011297429731266255,45.83437191626848,21.734616713275738,21.108129993057048,1.9521291039387605,0.0,0,0.0,[-0.01316605 -0.02030764],[0.1760783  0.18316911],[3.678854  4.7969813],0.0426195317789121
