a1_Throughput,a1_Angular_Distance_from_target,a1_Euclidean_Distance_from_target,a1_Upstream_Throughput,a1_Beta,a1_Rho,a1_Acceleration,a1_Speed,a1_Position,a1_Heuristic,a1_Angular_Distance_from_a2,a1_Angular_Distance_from_a3,a1_Angular_Distance_from_a4,a1_Angular_Distance_from_a5,a2_Throughput,a2_Angular_Distance_from_target,a2_Euclidean_Distance_from_target,a2_Upstream_Throughput,a2_Beta,a2_Rho,a2_Acceleration,a2_Speed,a2_Position,a2_Heuristic,a2_Angular_Distance_from_a3,a2_Angular_Distance_from_a4,a2_Angular_Distance_from_a5,a3_Throughput,a3_Angular_Distance_from_target,a3_Euclidean_Distance_from_target,a3_Upstream_Throughput,a3_Beta,a3_Rho,a3_Acceleration,a3_Speed,a3_Position,a3_Heuristic,a3_Angular_Distance_from_a4,a3_Angular_Distance_from_a5,a4_Throughput,a4_Angular_Distance_from_target,a4_Euclidean_Distance_from_target,a4_Upstream_Throughput,a4_Beta,a4_Rho,a4_Acceleration,a4_Speed,a4_Position,a4_Heuristic,a4_Angular_Distance_from_a5,a5_Throughput,a5_Angular_Distance_from_target,a5_Euclidean_Distance_from_target,a5_Upstream_Throughput,a5_Beta,a5_Rho,a5_Acceleration,a5_Speed,a5_Position,a5_Heuristic
35.39886704167017,321.3401917459099,6.4031242374328485,0.0,0,0.0,[ 0.12253313 -0.07412372],[0. 0.],[0.5 9.5],0.009992612026321335,167.31961650818016,83.65980825409008,96.34019174590992,38.65980825409008,16.0,128.65980825409008,6.4031242374328485,0.0,0,0.6246950475544241,[-0.22399921  0.0061308 ],[0. 0.],[9.5 0.5],0.0015261613894739594,83.65980825409008,96.34019174590992,128.65980825409008,16.0,45.0,7.0710678118654755,0.0,0,0.0,[0.11451371 0.14587076],[0. 0.],[0.5 0.5],0.006223708925430739,180.0,45.0,16.0,225.0,5.656854249492381,0.0,0,0.7071067811865476,[-0.10244483 -0.00060799],[0. 0.],[9.5 9.5],0.012100901017313549,135.0,35.39886704167017,0.0,5.0,0.0,0,0,[0.12448334 0.03251554],[0. 0.],[0.5 5.5],0.026678057769008615
37.394121349034705,321.1693865858904,6.261165239846091,0.0,0,0.0,[ 0.0933579  -0.05827558],[ 0.12253313 -0.07412372],[0.62253314 9.425877  ],0.009992612026321335,165.92453594837224,83.6461481853629,95.4305616469378,38.448505237528366,16.0,127.09392253426262,6.260743790985617,0.0,0,0.6031233831991792,[-0.24099193  0.01941351],[-0.22399922  0.0061308 ],[9.276001  0.5061308],0.0015261613894739594,82.27838776300933,98.64490240468993,127.47603071084387,16.0,44.81553477125328,6.8869839012790575,0.0,0,0.0,[0.06448943 0.096955  ],[0.11451371 0.14587076],[0.6145137  0.64587075],0.006223708925430739,179.07670983230074,45.19764294783454,16.0,225.73882493895255,5.58444899095766,0.0,0,0.6979301552522449,[-0.07377099 -0.01609265],[-0.10244483 -0.00060799],[9.397555 9.499392],0.012100901017313549,133.8790668844662,36.77514582517546,359.61789182341874,4.875625077227894,0.0,0,0,[ 0.09997556 -0.00410698],[0.12448333 0.03251554],[0.62448335 5.5325155 ],0.026678057769008615
30.789060127735503,320.8621416209601,6.010054665137866,0.0,0,0.0,[ 0.06675637 -0.04635767],[ 0.21589103 -0.13239929],[0.8384242 9.293477 ],0.009992612026321335,162.81828679099755,83.55261201902954,93.91918418780779,38.387385764664714,12.0,123.68042841195762,5.970513847420972,0.0,0,0.5545602089966987,[-0.21195741  0.02118444],[-0.3         0.02554432],[8.811009  0.5316751],0.00198562761664297,79.26567477196801,103.26252902119464,124.43090102633283,12.0,44.41475363998961,6.589013845627001,0.0,0,0.0,[0.02772511 0.05447538],[0.17900315 0.24282576],[0.7935169 0.8886965],0.006223708925430739,177.47179620683735,45.165226254364825,12.0,226.94295743315226,5.450705617672225,0.0,0,0.6827261435113559,[-0.05070929 -0.02691242],[-0.17621583 -0.01670064],[9.221339 9.482691],0.012100901017313549,132.30656995247253,28.93179537946425,359.2495273856248,4.651456783760639,0.0,0,0,[ 0.07095152 -0.01031685],[0.22445889 0.02840856],[0.8489422 5.560924 ],0.026678057769008615
34.690228201507,320.4609889171601,5.678135019738595,0.0,0,0.0,[ 0.04674724 -0.03663552],[ 0.2826474  -0.17875695],[1.1210716 9.11472  ],0.013037727312890948,159.16713674161804,83.33166451798286,92.03769962613416,38.49972321735635,12.0,119.62812565877812,5.661872683928104,0.0,0,0.494368629377661,[-0.20726571  0.03419511],[-0.3         0.04672876],[8.299052   0.57840383],0.00198562761664297,75.83547222363518,108.7951636322478,120.66741352426169,12.0,43.79265343514294,6.233651487904134,0.0,0,0.0,[0.00346589 0.02377899],[0.20672826 0.29730114],[1.0002451 1.1859976],0.012204077629688875,175.36936414411701,44.83194130062651,12.0,228.42328929102592,5.265668247328657,0.0,0,0.663622196727181,[-0.03043332 -0.03109482],[-0.22692512 -0.04361306],[8.994414 9.439077],0.016306624758675014,130.5374228434905,30.17624632857107,358.9607121345164,4.3563639781526735,0.0,0,0,[ 0.04542805 -0.00410362],[0.2954104 0.0180917],[1.1443527 5.5790157],0.033902931293968264
38.99658892763031,319.9886612558438,5.287169070612819,0.0,0,0.0,[ 0.03779691 -0.02480294],[ 0.3        -0.21539247],[1.4504662 8.899328 ],0.017045254258404797,155.3462670517793,82.96015775152046,89.94046781829559,38.68430933432245,12.0,115.3349283076231,5.355781417969903,0.0,0,0.42790892529619184,[-0.20697196  0.02412739],[-0.3         0.08092386],[7.7917867 0.6593277],0.0027410186218951656,72.38610930025885,114.71326512992508,116.66195771745686,12.0,42.94881900736425,5.860354968325995,0.0,0,0.0,[-0.00243875  0.01250183],[0.21019416 0.3       ],[1.2104392 1.5070777],0.012204077629688875,172.90062556981607,44.275848417198006,12.0,230.04819343754818,5.041019828766975,0.0,0,0.642143036222731,[-0.01616016 -0.03153896],[-0.25735843 -0.07470788],[8.737056 9.364369],0.016306624758675014,128.62477715261807,30.85546616103227,358.67297059016624,4.015885972787759,0.0,0,0,[ 0.03206284 -0.00343326],[0.3        0.01398808],[1.4851911 5.5930037],0.033902931293968264
42.60426644964972,319.59823436296625,4.874126792318923,0.0,0,0.0,[ 0.03060036 -0.01696628],[ 0.3        -0.24019541],[1.7882631 8.659133 ],0.017045254258404797,151.05276005944114,82.44163549903504,87.85643584344643,38.79103711352002,12.0,110.6509944224074,5.060797481266349,0.0,0,0.35267462118403453,[-0.18304504  0.02019517],[-0.3         0.10505125],[7.284815  0.7643789],0.0027410186218951656,68.6111245604061,121.09080409711243,112.26172294592112,12.0,42.0398698620013,5.496055786966978,0.0,0,0.0,[-0.00424512  0.00111593],[0.20775542 0.3       ],[1.4181947 1.8195796],0.012204077629688875,170.29807134248148,43.650598385515025,12.0,231.74179851951982,4.786025191844254,0.0,0,0.6192063554610229,[-0.00416025 -0.02911039],[-0.2735186  -0.10624684],[8.463537 9.258122],0.016306624758675014,126.64747295696645,30.625907520671227,358.3892714764863,3.6842017941835166,0.0,0,0,[ 0.0219003  -0.00174175],[0.3        0.01055483],[1.817254  5.6035585],0.033902931293968264
44.49000610429657,319.36107859789274,4.455728713092968,0.0,0,0.0,[ 0.0193674 -0.0089829],[ 0.3        -0.25716168],[2.1188636 8.401971 ],0.019922603836127484,146.40629823300492,81.70578397549099,85.91370758254914,38.72392372860645,12.0,105.76737683089766,4.790632443924878,0.0,0,0.2717323336044626,[-0.18281543  0.02208457],[-0.3         0.12524642],[6.8017697 0.8896253],0.0038512905054217507,64.70051425751393,127.67999418444595,107.68237450439847,12.0,41.06686257338373,5.14401311157964,0.0,0,0.0,[-0.00989056 -0.00559467],[0.2035103 0.3      ],[1.6217049 2.1206956],0.016089470610494868,167.61949155804012,42.98186024688454,12.0,233.4473710153436,4.5097968096508,0.0,0,0.5955609176790018,[ 0.00715603 -0.02470431],[-0.27767885 -0.13535723],[8.185859 9.122766],0.016306624758675014,124.63763131115559,29.603507863684293,358.0850023264992,3.3627238752669695,0.0,0,0,[ 0.01159016 -0.00226084],[0.3        0.00881307],[2.1391542 5.6123714],0.042609963249838484
43.749108357469055,319.2753858782616,4.040050587409999,0.0,0,0.0,[ 0.01336101 -0.00312825],[ 0.3        -0.26614457],[2.438231 8.135826],0.019922603836127484,141.12253594814683,80.66149533242532,84.17227568490449,38.49116002898484,12.0,100.39792182640844,4.537559409716313,0.0,0,0.1804834700389386,[-0.13128901  0.02007021],[-0.3         0.14733098],[6.3189545 1.0369563],0.004559199915584887,60.461040615721515,134.70518836694868,102.631375919162,12.0,39.93688121068692,4.805562803082937,0.0,0,0.0,[-0.01272982 -0.01505714],[0.19361974 0.29440534],[1.8153247 2.415101 ],0.016089470610494868,164.8337710173298,42.17033530344048,12.0,235.1031101933571,4.22186754627086,0.0,0,0.5721013522044307,[ 0.01058088 -0.0208592 ],[-0.2705228  -0.16006154],[7.915336 8.962704],0.02706479311601241,122.66343571388933,28.15385738162685,357.76654590724644,3.051573792328102,0.0,0,0,[ 0.00567958 -0.00425114],[0.3        0.00655224],[2.4507444 5.6189237],0.042609963249838484
32.47781372177076,319.26946660855947,3.6268886834868748,0.0,0,0.0,[0.00746432 0.00208763],[ 0.3        -0.26927283],[2.751592  7.8665533],0.026937151835097345,135.8872886680076,79.41548497236994,82.56538687416094,38.20056552255494,9.6,95.15675527656708,4.313099675304566,0.0,0,0.08988089794879527,[-0.13714426  0.01858008],[-0.3        0.1674012],[5.8876653 1.2043575],0.006717575663610889,56.471803695637675,141.54732445783145,97.68672314545267,9.6,38.68495158092941,4.488610842968494,0.0,0,0.0,[-0.0095103  -0.01584632],[0.18088992 0.2793482 ],[1.9962146 2.6944492],0.016089470610494868,161.98087184653087,41.214919449815,9.6,236.70407973439853,3.926299016859165,0.0,0,0.5489633031121581,[ 0.01814688 -0.013573  ],[-0.25994194 -0.18092074],[7.655394 8.781783],0.02706479311601241,120.76595239671587,21.031863823307265,357.4700321311144,2.7462529039849706,0.0,0,0,[-0.00163178 -0.00099227],[0.3        0.00230109],[2.756424 5.621225],0.042609963249838484
29.037070163561623,319.3023573667469,3.219557832095321,0.0,0,0.0,[-0.00127437  0.0072167 ],[ 0.3       -0.2671852],[3.0590563 7.599368 ],0.033328375186439885,130.0078530867268,78.03500666393603,81.09428983853417,37.82884699463659,9.6,89.3102104534737,4.109959066431263,0.0,0,0.0,[-0.11549314  0.02036052],[-0.3         0.18598127],[5.450521  1.3903388],0.006717575663610889,51.97284642279078,148.89785707473902,92.17900609209022,9.6,37.33736403068292,4.191293502170026,0.0,0,0.0,[-0.01039069 -0.01900975],[0.17137963 0.26350188],[2.1675942 2.957951 ],0.021245302025920787,159.1292965024702,40.20615966929944,9.6,238.20806752821272,3.6322471776446146,0.0,0,0.5268361211923711,[ 0.01821145 -0.00969275],[-0.24179506 -0.19449374],[7.413599 8.58729 ],0.02706479311601241,118.92313683317076,19.5527107059725,357.1312043613835,2.44827610459948,0.0,0,0,[-0.0145963   0.00033928],[0.29836825 0.00130883],[3.0547922 5.622534 ],0.05332635117664821
